,index,tmean0,tmean1,tmean2,tmean3,tmax0,tmax1,tmax2,tmax3,tmin0,tmin1,tmin2,tdi0,tdi1,tdi2,tdi3,tdi4,tdi5,mean_rainfall0,rh0,rh1,rh2,rh3,rh4,rh5,nino0,nino1,nino2,nino3,nino4,nino5,act0,bre0,dengue,month,eip,year,population,dengue_per
10,2007-04-30,27.39516665140788,26.94516117342057,24.86589288711548,24.2814516252087,32.49116662343343,32.54258078913535,30.558214323861257,29.916612840467884,22.298999977111816,21.34612907901887,19.174107210976736,10.192166646321615,11.19645171011648,11.38410711288452,11.271451627054525,10.44870961096979,7.865499941507975,134.7934419645369,81.324974,70.72278,66.08658,64.949905,69.693565,87.00772,27.5,27.1,26.88,27.24,27.74,27.69,0,0,7.0,4,14.099772376563278,2007,33753016,0.020738887452309444
11,2007-05-31,27.21338708939091,27.39516665140788,26.94516117342057,24.86589288711548,31.806290288125314,32.49116662343343,32.54258078913535,30.558214323861257,22.61854833172213,22.298999977111816,21.34612907901887,9.187741956403178,10.192166646321615,11.19645171011648,11.38410711288452,11.271451627054525,10.44870961096979,178.8562454973161,85.027306,81.324974,70.72278,66.08658,64.949905,69.693565,27.46,27.5,27.1,26.88,27.24,27.74,0,0,40.0,5,13.459639939175762,2007,33753016,0.11850792829891112
12,2007-06-30,25.059833240509032,27.21338708939091,27.39516665140788,26.94516117342057,28.69949992497762,31.806290288125314,32.49116662343343,32.54258078913535,21.42050005594889,22.61854833172213,22.298999977111816,7.278999869028727,9.187741956403178,10.192166646321615,11.19645171011648,11.38410711288452,11.271451627054525,677.4845605441927,88.881035,85.027306,81.324974,70.72278,66.08658,64.949905,27.37,27.46,27.5,27.1,26.88,27.24,11,15,143.0,6,11.408899909859205,2007,33753016,0.4236658436686073
13,2007-07-31,24.302258091588172,25.059833240509032,27.21338708939091,27.39516665140788,27.640000066449566,28.69949992497762,31.806290288125314,32.49116662343343,20.96451627054522,21.42050005594889,22.61854833172213,6.675483795904344,7.278999869028727,9.187741956403178,10.192166646321615,11.19645171011648,11.38410711288452,995.6136643999816,91.287636,88.881035,85.027306,81.324974,70.72278,66.08658,26.71,27.37,27.46,27.5,27.1,26.88,13,12,145.0,7,11.007956276022883,2007,33753016,0.42959124008355287
14,2007-08-31,24.4051613038586,24.302258091588172,25.059833240509032,27.21338708939091,27.8882258630568,27.640000066449566,28.69949992497762,31.806290288125314,20.92306453950944,20.96451627054522,21.42050005594889,6.965161323547363,6.675483795904344,7.278999869028727,9.187741956403178,10.192166646321615,11.19645171011648,511.7079103256762,90.50812,91.287636,88.881035,85.027306,81.324974,70.72278,26.14,26.71,27.37,27.46,27.5,27.1,0,10,94.0,8,11.168192519274761,2007,33753016,0.27849363150244116
15,2007-09-30,24.857166798909507,24.4051613038586,24.302258091588172,25.059833240509032,28.47016668319702,27.8882258630568,27.640000066449566,28.69949992497762,21.24566666285197,20.92306453950944,20.96451627054522,7.224500020345052,6.965161323547363,6.675483795904344,7.278999869028727,9.187741956403178,10.192166646321615,508.6010371752083,90.52494,90.50812,91.287636,88.881035,85.027306,81.324974,25.61,26.14,26.71,27.37,27.46,27.5,20,2,64.0,9,13.25370737698159,2007,33753016,0.18961268527825778
16,2007-10-31,24.706935421113045,24.857166798909507,24.4051613038586,24.302258091588172,28.68999998031124,28.47016668319702,27.8882258630568,27.640000066449566,20.7238709849696,21.24566666285197,20.92306453950944,7.96612899534164,7.224500020345052,6.965161323547363,6.675483795904344,7.278999869028727,9.187741956403178,345.1890940922499,88.32223,90.52494,90.50812,91.287636,88.881035,85.027306,25.32,25.61,26.14,26.71,27.37,27.46,0,0,29.0,10,14.076469023106185,2007,33753016,0.08591824801671057
17,2007-11-30,24.457166639963784,24.706935421113045,24.857166798909507,24.4051613038586,29.0498335202535,28.68999998031124,28.47016668319702,27.8882258630568,19.862666654586796,20.7238709849696,21.24566666285197,9.187166865666708,7.96612899534164,7.224500020345052,6.965161323547363,6.675483795904344,7.278999869028727,77.83709634512662,79.608444,88.32223,90.52494,90.50812,91.287636,88.881035,25.17,25.32,25.61,26.14,26.71,27.37,0,0,29.0,11,13.961781925689735,2007,33753016,0.08591824801671057
18,2007-12-31,23.97370966019169,24.457166639963784,24.706935421113045,24.857166798909507,28.62790323072864,29.0498335202535,28.68999998031124,28.47016668319702,19.31999998707925,19.862666654586796,20.7238709849696,9.30790324364939,9.187166865666708,7.96612899534164,7.224500020345052,6.965161323547363,6.675483795904344,21.22234910473228,73.09959,79.608444,88.32223,90.52494,90.50812,91.287636,25.01,25.17,25.32,25.61,26.14,26.71,0,0,29.0,12,13.468980454094634,2007,33753016,0.08591824801671057
19,2008-01-31,24.138709652808405,23.97370966019169,24.457166639963784,24.706935421113045,29.643225946734027,28.62790323072864,29.0498335202535,28.68999998031124,18.634516100729662,19.31999998707925,19.862666654586796,11.008709846004365,9.30790324364939,9.187166865666708,7.96612899534164,7.224500020345052,6.965161323547363,2.85522435605526,67.72367,73.09959,79.608444,88.32223,90.52494,90.50812,24.86,25.01,25.17,25.32,25.61,26.14,0,0,30.0,1,13.630810276673323,2008,34068138,0.08805881906431165
